      knight,      archer,     goblins,    valkyrie, dart_goblin, gold_knight,->,    ranger 1,     noble 1,juggernaut 1,    goblin 1,      clan 1,  assassin 1
      knight,      archer,  spear_gobs,   musketeer,    valkyrie, dart_goblin,->,    ranger 1,     noble 1,juggernaut 1,    goblin 1,      clan 1,   blaster 1
      knight,      archer,  barbarians,  skele_drag,      prince,  skele_king,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,      clan 1,   brawler 1
      knight,      archer,  barbarians,      prince, dart_goblin, gob_machine,->,    ranger 1,     noble 1,juggernaut 1,    goblin 1,      clan 1,   brawler 1
      knight,      archer,  barbarians, giant_skele,    princess,  skele_king,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,      clan 1,   brawler 1
      knight,      archer,  skele_drag,    valkyrie,      prince, giant_skele,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,      clan 1,   brawler 1
      knight,      archer,  skele_drag,    valkyrie, royal_ghost, gold_knight,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,      clan 1,  assassin 1
      knight,      archer,       witch,    princess,  skele_king, archr_queen,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,      clan 1,   avenger 1
      knight,     goblins,  spear_gobs,   musketeer, royal_ghost,  skele_king,->,    undead 1,     noble 1,juggernaut 1,    goblin 1,   blaster 1,  assassin 1
      knight,     goblins,  skele_drag, dart_goblin,  skele_king, gold_knight,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,    goblin 1,  assassin 1
      knight,     goblins,  skele_drag,    princess, royal_ghost, gob_machine,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,    goblin 1,  assassin 1
      knight,     goblins,   musketeer, executioner,      bandit, gob_machine,->,     noble 1,juggernaut 1,    goblin 1,   blaster 1,  assassin 1,       ace 1
      knight,     goblins,      prince, giant_skele, royal_ghost, gob_machine,->,    undead 1,     noble 1,juggernaut 1,    goblin 1,   brawler 1,  assassin 1
      knight,     goblins,      prince, mega_knight,      bandit, gob_machine,->,     noble 1,juggernaut 1,    goblin 1,   brawler 1,  assassin 1,       ace 1
      knight,     goblins, dart_goblin,    princess, royal_ghost,  skele_king,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,    goblin 1,  assassin 1
      knight,  spear_gobs,  skele_drag,   musketeer, dart_goblin,  skele_king,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,    goblin 1,   blaster 1
      knight,  spear_gobs,      prince, executioner, mega_knight, gob_machine,->,     noble 1,juggernaut 1,    goblin 1,   brawler 1,   blaster 1,       ace 1
      knight,  spear_gobs, executioner,      bandit, gob_machine, gold_knight,->,     noble 1,juggernaut 1,    goblin 1,   blaster 1,  assassin 1,       ace 1
      knight,  barbarians,  skele_drag,    valkyrie, giant_skele,    princess,->,    undead 1,    ranger 1,     noble 1,juggernaut 1,      clan 1,   brawler 1
      knight,  barbarians,   musketeer,    valkyrie, executioner, mega_knight,->,     noble 1,juggernaut 1,      clan 1,   brawler 1,   blaster 1,       ace 1
      knight,  barbarians,    valkyrie, giant_skele, royal_ghost, gold_knight,->,    undead 1,     noble 1,juggernaut 1,      clan 1,   brawler 1,  assassin 1
      knight,  barbarians,    valkyrie, mega_knight,      bandit, gold_knight,->,     noble 1,juggernaut 1,      clan 1,   brawler 1,  assassin 1,       ace 1
      knight,  barbarians,      prince,       witch,  skele_king, archr_queen,->,    undead 1,     noble 1,juggernaut 1,      clan 1,   brawler 1,   avenger 1
