      knight,      archer,  barbarians,   musketeer,      prince,    princess,->,     noble 2,    ranger 1,      clan 1,   brawler 1
      knight,      archer,  barbarians,    valkyrie,      prince, archr_queen,->,      clan 2,     noble 1,juggernaut 1,   brawler 1
      knight,      archer,  barbarians,    valkyrie,    princess, archr_queen,->,      clan 2,    ranger 1,     noble 1,juggernaut 1
      knight,      archer,  barbarians,      prince,    princess, gold_knight,->,     noble 2,    ranger 1,      clan 1,   brawler 1
      knight,      archer,  skele_drag,    valkyrie, dart_goblin,    princess,->,    ranger 2,     noble 1,juggernaut 1,      clan 1
      knight,      archer,  skele_drag,    valkyrie, gob_machine,  skele_king,->,juggernaut 2,    undead 1,    ranger 1,      clan 1
      knight,      archer,  skele_drag, dart_goblin,    princess, gob_machine,->,    ranger 2,     noble 1,juggernaut 1,    goblin 1
      knight,      archer,  skele_drag, dart_goblin,    princess,  skele_king,->,    ranger 2,    undead 1,     noble 1,juggernaut 1
      knight,      archer,   musketeer,    valkyrie,      prince,    princess,->,     noble 2,    ranger 1,juggernaut 1,      clan 1
      knight,      archer,   musketeer,    valkyrie,    princess, gold_knight,->,     noble 2,    ranger 1,juggernaut 1,      clan 1
      knight,      archer,    valkyrie,      prince,    princess, gold_knight,->,     noble 2,    ranger 1,juggernaut 1,      clan 1
      knight,      archer,    valkyrie, dart_goblin, gob_machine,  skele_king,->,juggernaut 2,    ranger 1,    goblin 1,      clan 1
      knight,      archer,    valkyrie,    princess, gob_machine,  skele_king,->,juggernaut 2,    ranger 1,     noble 1,      clan 1
      knight,     goblins,  spear_gobs,   musketeer,      prince, gold_knight,->,     noble 2,    goblin 1,   blaster 1,  assassin 1
      knight,     goblins,  spear_gobs,   musketeer, dart_goblin, gob_machine,->,    goblin 2,     noble 1,juggernaut 1,   blaster 1
      knight,     goblins,  spear_gobs,   musketeer,    princess, gold_knight,->,     noble 2,    goblin 1,   blaster 1,  assassin 1
      knight,     goblins,  spear_gobs, dart_goblin,    princess, gob_machine,->,    goblin 2,    ranger 1,     noble 1,juggernaut 1
      knight,     goblins,  spear_gobs, dart_goblin, gob_machine, gold_knight,->,    goblin 2,     noble 1,juggernaut 1,  assassin 1
      knight,     goblins,   musketeer,      prince, gob_machine, gold_knight,->,     noble 2,juggernaut 1,    goblin 1,  assassin 1
      knight,     goblins,   musketeer, dart_goblin,    princess, gold_knight,->,     noble 2,    ranger 1,    goblin 1,  assassin 1
      knight,     goblins,   musketeer,    princess, gob_machine, gold_knight,->,     noble 2,juggernaut 1,    goblin 1,  assassin 1
      knight,     goblins,    valkyrie, royal_ghost, gob_machine,  skele_king,->,juggernaut 2,    undead 1,    goblin 1,  assassin 1
      knight,     goblins,    valkyrie, gob_machine,  skele_king, gold_knight,->,juggernaut 2,     noble 1,    goblin 1,  assassin 1
      knight,     goblins,      prince, dart_goblin,    princess, gold_knight,->,     noble 2,    ranger 1,    goblin 1,  assassin 1
      knight,     goblins,      prince,    princess, gob_machine, gold_knight,->,     noble 2,juggernaut 1,    goblin 1,  assassin 1
      knight,     goblins, royal_ghost,      bandit, gob_machine, gold_knight,->,  assassin 2,     noble 1,juggernaut 1,    goblin 1
      knight,     goblins, royal_ghost,      bandit,  skele_king, gold_knight,->,  assassin 2,    undead 1,     noble 1,juggernaut 1
      knight,  spear_gobs,   musketeer,    valkyrie, gob_machine,  skele_king,->,juggernaut 2,     noble 1,    goblin 1,   blaster 1
      knight,  spear_gobs,   musketeer,      prince, dart_goblin,    princess,->,     noble 2,    ranger 1,    goblin 1,   blaster 1
      knight,  spear_gobs,   musketeer,      prince,    princess, gob_machine,->,     noble 2,juggernaut 1,    goblin 1,   blaster 1
      knight,  spear_gobs,   musketeer,      prince, gob_machine, gold_knight,->,     noble 2,juggernaut 1,    goblin 1,   blaster 1
      knight,  spear_gobs,   musketeer, dart_goblin,    princess, gold_knight,->,     noble 2,    ranger 1,    goblin 1,   blaster 1
      knight,  spear_gobs,   musketeer, executioner, baby_dragon, gob_machine,->,   blaster 2,     noble 1,juggernaut 1,    goblin 1
